x	y	topsis
[5.0, 0.0, 1.0, 5.0, 4.0]	[75.0, -0.0296597, -6.98, -500.0]	0.8579242105877183
[2.0, 3.0, 4.0, 7.0, 0.0]	[57.2, -0.0322879, -5.5, -200.0]	0.8897139884119579
[9.0, 0.0, 5.0, 8.0, 0.0]	[26.0, -0.0240779, -4.54, -900.0]	0.7415074478208099
[10.0, 6.0, 4.0, 3.0, 0.0]	[70.0, -0.0269531, -4.21, -1000.0]	0.7439535669705802
[3.0, 0.0, 5.0, 5.0, 2.0]	[87.5, -0.0337032, -5.12, -300.0]	0.9019123781350882
[5.0, 5.0, 0.0, 5.0, 7.0]	[66.0, -0.0285783, -26.509999999999998, -500.0]	0.8528391133329052
[4.0, 5.0, 4.0, 6.0, 5.0]	[100.0, -0.0318188, -10.21, -400.0]	0.8883339362943329
[2.0, 0.0, 5.0, 3.0, 2.0]	[48.4, -0.0301662, -5.33, -200.0]	0.8814822417540529
[6.0, 0.0, 2.0, 3.0, 7.0]	[78.75, -0.0291301, -24.78, -600.0]	0.8359422036857982
[2.0, 0.0, 2.0, 4.0, 2.0]	[40.8, -0.0325089, -4.8, -200.0]	0.8648447987519702
[6.0, 1.0, 5.0, 5.0, 4.0]	[98.75, -0.0293456, -7.01, -600.0]	0.8413175730784404
[10.0, 7.0, 5.0, 3.0, 7.0]	[100.0, -0.0284763, -25.8, -1000.0]	0.749730693460753
[6.0, 0.0, 2.0, 8.0, 7.0]	[95.0, -0.0297427, -28.54, -600.0]	0.8403322620498784
[3.0, 5.0, 1.0, 7.0, 4.0]	[89.375, -0.0316415, -7.14, -300.0]	0.9102608264347991
[4.0, 3.0, 5.0, 3.0, 0.0]	[100.0, -0.0316539, -4.05, -400.0]	0.8887677919716284
[4.0, 7.0, 4.0, 6.0, 4.0]	[100.0, -0.0309346, -6.88, -400.0]	0.8906001147679763
[2.0, 7.0, 0.0, 8.0, 4.0]	[48.8, -0.0247797, -6.15, -200.0]	0.8900511308804345
[4.0, 4.0, 3.0, 8.0, 0.0]	[95.0, -0.0306475, -4.0, -400.0]	0.8906517525260392
[3.0, 0.0, 5.0, 4.0, 0.0]	[41.25, -0.0312042, -4.08, -300.0]	0.8578730374688389
[4.0, 3.0, 0.0, 6.0, 2.0]	[94.1667, -0.0315988, -4.32, -400.0]	0.8880803024354677
[4.0, 2.0, 4.0, 4.0, 2.0]	[100.0, -0.0306622, -4.720000000000001, -400.0]	0.8912688842390101
[4.0, 7.0, 5.0, 3.0, 1.0]	[99.1667, -0.0306756, -4.19, -400.0]	0.8911856772448274
[3.0, 2.0, 2.0, 7.0, 3.0]	[98.125, -0.0320932, -5.61, -300.0]	0.9113707594503773
[10.0, 0.0, 0.0, 3.0, 0.0]	[34.0, -0.0224703, -3.78, -1000.0]	0.7287484725785723
[3.0, 7.0, 1.0, 8.0, 5.0]	[93.125, -0.0330944, -10.8, -300.0]	0.9065640746001163
[4.0, 7.0, 5.0, 5.0, 4.0]	[100.0, -0.0312134, -7.029999999999999, -400.0]	0.8899011361593814
[1.0, 6.0, 5.0, 4.0, 0.0]	[21.2, -0.0242942, -1000000.0, -100.0]	0.25536959571840917
[6.0, 7.0, 5.0, 3.0, 2.0]	[98.75, -0.0297469, -4.67, -600.0]	0.8408057571059452
[4.0, 2.0, 5.0, 6.0, 1.0]	[100.0, -0.0318307, -4.24, -400.0]	0.8883030208408113
[6.0, 7.0, 4.0, 4.0, 0.0]	[97.5, -0.0290688, -4.1000000000000005, -600.0]	0.8415295007621381
[4.0, 0.0, 5.0, 3.0, 6.0]	[94.1667, -0.0306819, -14.83, -400.0]	0.8903778645801572
[10.0, 4.0, 5.0, 7.0, 7.0]	[100.0, -0.0285048, -26.270000000000003, -1000.0]	0.7497149837301472
[5.0, 2.0, 5.0, 3.0, 3.0]	[92.0, -0.0293891, -5.64, -500.0]	0.8661598335812868
[4.0, 7.0, 2.0, 7.0, 3.0]	[99.1667, -0.0311297, -5.2700000000000005, -400.0]	0.8900617689272289
[5.0, 7.0, 5.0, 7.0, 0.0]	[93.0, -0.0303787, -4.47, -500.0]	0.8647357502210328
[2.0, 5.0, 1.0, 8.0, 2.0]	[48.4, -0.030122, -4.98, -200.0]	0.8815722581319891
