x	y
[8.0, 5.0, 3.0, 3.0, 3.0]	[100.0, -0.0271585, -5.34, -800.0]
[7.0, 5.0, 2.0, 3.0, 3.0]	[90.0, -0.0273355, -5.2, -700.0]
[7.0, 5.0, 4.0, 3.0, 4.0]	[98.5714, -0.0289937, -7.0, -700.0]
[9.0, 4.0, 4.0, 3.0, 2.0]	[74.0, -0.0279132, -4.989999999999999, -900.0]
[8.0, 7.0, 3.0, 3.0, 3.0]	[100.0, -0.0271585, -5.34, -800.0]
[9.0, 7.0, 3.0, 3.0, 4.0]	[86.0, -0.0275997, -7.14, -900.0]
[7.0, 5.0, 3.0, 6.0, 3.0]	[100.0, -0.0288595, -5.41, -700.0]
[7.0, 6.0, 3.0, 3.0, 2.0]	[98.5714, -0.0276057, -4.7, -700.0]
[8.0, 7.0, 2.0, 3.0, 2.0]	[96.6667, -0.027424, -4.49, -800.0]
[6.0, 7.0, 3.0, 3.0, 3.0]	[93.75, -0.0290515, -5.2, -600.0]
[8.0, 6.0, 3.0, 4.0, 2.0]	[100.0, -0.0285656, -4.71, -800.0]
[7.0, 3.0, 4.0, 3.0, 7.0]	[97.1429, -0.0292696, -27.5, -700.0]
[1.0, 7.0, 0.0, 8.0, 7.0]	[18.0, -0.0221753, -1000000.0, -100.0]
[5.0, 2.0, 0.0, 3.0, 2.0]	[80.0, -0.0283583, -4.47, -500.0]
[1.0, 6.0, 0.0, 7.0, 6.0]	[17.6, -0.0222619, -1000000.0, -100.0]
[7.0, 0.0, 5.0, 5.0, 7.0]	[90.0, -0.0292768, -26.96, -700.0]
[10.0, 3.0, 3.0, 8.0, 7.0]	[100.0, -0.02851, -26.020000000000003, -1000.0]
[7.0, 4.0, 1.0, 4.0, 1.0]	[95.7143, -0.0268131, -4.25, -700.0]
[7.0, 3.0, 1.0, 4.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[7.0, 3.0, 1.0, 5.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[7.0, 3.0, 2.0, 5.0, 0.0]	[88.5714, -0.0272558, -4.09, -700.0]
[7.0, 3.0, 1.0, 5.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[7.0, 3.0, 0.0, 5.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[7.0, 3.0, 0.0, 4.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[6.0, 3.0, 0.0, 5.0, 0.0]	[97.5, -0.0281351, -3.94, -600.0]
[8.0, 4.0, 0.0, 5.0, 0.0]	[85.0, -0.0270055, -3.9899999999999998, -800.0]
[7.0, 2.0, 0.0, 5.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[7.0, 3.0, 0.0, 5.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[7.0, 3.0, 0.0, 5.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[7.0, 3.0, 0.0, 5.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[7.0, 3.0, 0.0, 5.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[7.0, 3.0, 0.0, 5.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[7.0, 3.0, 0.0, 5.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[7.0, 3.0, 0.0, 5.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[7.0, 3.0, 0.0, 5.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[7.0, 3.0, 0.0, 5.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[7.0, 3.0, 0.0, 5.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[7.0, 3.0, 0.0, 5.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
[7.0, 3.0, 0.0, 5.0, 0.0]	[94.2857, -0.0251824, -4.0, -700.0]
