x	y	topsis
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
[3.0, 7.0, 3.0, 7.0, 7.0]	[100.0, -0.0337096, -33.12, -300.0]	0.9467013744003885
